0	的	6538132
1	是	3200626
2	不	2831612
3	我	2584497
4	一	2542556
5	有	2289333
6	大	1891383
7	在	1715554
8	人	1598855
9	了	1507218
10	中	1322363
11	到	1310850
12	資	1115608
13	要	1034142
14	以	994958
15	可	992842
16	這	986130
17	個	933857
18	你	915385
19	會	894569
20	好	860232
21	為	847332
22	上	828394
23	來	812950
24	學	806783
25	就	803921
26	交	728005
27	也	712260
28	用	695290
29	能	668264
30	如	659275
31	時	658186
32	文	651140
33	說	638724
34	沒	638184
35	他	635766
36	看	632561
37	那	610340
38	問	601742
39	生	601668
40	提	599147
41	下	589356
42	過	586922
43	請	576417
44	們	571155
45	天	569684
46	所	558469
47	多	542911
48	麼	535402
49	小	530133
50	之	527444
51	想	525378
52	得	521836
53	工	521467
54	出	513081
55	還	511627
56	電	509516
57	對	500435
58	都	493206
59	機	468878
60	自	462155
61	而	459507
62	子	459460
63	後	459039
64	訊	448759
65	家	447793
66	站	446241
67	心	445610
68	只	443992
69	去	443547
70	知	434311
71	國	430450
72	很	417617
73	台	414094
74	成	406735
75	信	406628
76	同	395867
77	何	394682
78	章	391052
79	道	386382
80	發	374961
81	地	374510
82	法	370276
83	無	368361
84	然	364596
85	但	362245
86	當	354718
87	於	353628
88	嗎	353524
89	本	353034
90	年	343135
91	現	341466
92	前	339595
93	最	335527
94	真	335203
95	新	334204
96	和	333422
97	因	326759
98	果	324143
99	意	322755
100	定	322471
101	點	319559
102	情	318027
103	其	317897
104	題	316919
105	事	312553
106	科	311419
107	方	310681
108	些	304517
109	清	302588
110	三	301762
111	樣	301165
112	此	295670
113	吧	295069
114	位	291403
115	作	287015
116	理	286328
117	行	285867
118	者	283962
119	經	282242
120	名	278941
121	什	276297
122	謝	274523
123	日	273090
124	正	266725
125	開	265943
126	話	265861
127	與	264663
128	實	264457
129	愛	262882
130	再	261987
131	華	260565
132	二	260189
133	城	257697
134	動	256817
135	比	253132
136	面	252008
137	高	251576
138	又	249806
139	或	248845
140	力	247326
141	應	246284
142	女	245920
143	種	245042
144	教	245033
145	車	244964
146	分	243477
147	像	243002
148	系	240826
149	長	237093
150	手	236673
151	次	236297
152	已	235726
153	明	234613
154	打	233464
